"gene","transcript","protein","uniprot","align","identity","evalue","name","lineage","domain","genus"
"1","TRINITY_DN100395_c0_g1","TRINITY_DN100395_c0_g1_i2",NA,"Y1861_PYRAE","Q:271-26,H:148-226",43.902,2.19e-15,"Putative ankyrin repeat protein PAE1861","Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Pyrobaculum","Archaea","Pyrobaculum"
"2","TRINITY_DN100395_c0_g1","TRINITY_DN100395_c0_g1_i2",NA,"Y1861_PYRAE","Q:199-26,H:139-196",44.828,4.21e-09,"Putative ankyrin repeat protein PAE1861","Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Pyrobaculum","Archaea","Pyrobaculum"
"3","TRINITY_DN100395_c0_g1","TRINITY_DN100395_c0_g1_i2",NA,"Y1861_PYRAE","Q:226-17,H:9-78",38.571,3.57e-06,"Putative ankyrin repeat protein PAE1861","Archaea; Crenarchaeota; Thermoprotei; Thermoproteales; Thermoproteaceae; Pyrobaculum","Archaea","Pyrobaculum"
"4","TRINITY_DN100770_c0_g1","TRINITY_DN100770_c0_g1_i3","TRINITY_DN100770_c0_g1::TRINITY_DN100770_c0_g1_i3::g.39308::m.39308","YL093_MIMIV","Q:119-547,H:235-382",35.135,1.34e-16,"Putative ankyrin repeat protein L93","Viruses; Mimiviridae; Mimivirus","Viruses","Mimivirus"
"5","TRINITY_DN100770_c0_g1","TRINITY_DN100770_c0_g1_i3","TRINITY_DN100770_c0_g1::TRINITY_DN100770_c0_g1_i3::g.39308::m.39308","YL093_MIMIV","Q:113-547,H:270-415",32.886,2.98e-14,"Putative ankyrin repeat protein L93","Viruses; Mimiviridae; Mimivirus","Viruses","Mimivirus"
"6","TRINITY_DN100770_c0_g1","TRINITY_DN100770_c0_g1_i3","TRINITY_DN100770_c0_g1::TRINITY_DN100770_c0_g1_i3::g.39308::m.39308","YL093_MIMIV","Q:74-547,H:109-279",31.579,1.95e-11,"Putative ankyrin repeat protein L93","Viruses; Mimiviridae; Mimivirus","Viruses","Mimivirus"
"7","TRINITY_DN100770_c0_g1","TRINITY_DN100770_c0_g1_i3","TRINITY_DN100770_c0_g1::TRINITY_DN100770_c0_g1_i3::g.39308::m.39308","YL093_MIMIV","Q:119-457,H:305-418",33.621,3.4e-10,"Putative ankyrin repeat protein L93","Viruses; Mimiviridae; Mimivirus","Viruses","Mimivirus"
"8","TRINITY_DN100770_c0_g1","TRINITY_DN100770_c0_g1_i4","TRINITY_DN100770_c0_g1::TRINITY_DN100770_c0_g1_i4::g.39309::m.39309","YL093_MIMIV","Q:119-457,H:235-352",37.288,2.2e-12,"Putative ankyrin repeat protein L93","Viruses; Mimiviridae; Mimivirus","Viruses","Mimivirus"
"9","TRINITY_DN100770_c0_g1","TRINITY_DN100770_c0_g1_i4","TRINITY_DN100770_c0_g1::TRINITY_DN100770_c0_g1_i4::g.39309::m.39309","YL093_MIMIV","Q:119-457,H:305-418",35.043,8.79e-11,"Putative ankyrin repeat protein L93","Viruses; Mimiviridae; Mimivirus","Viruses","Mimivirus"
"10","TRINITY_DN100770_c0_g1","TRINITY_DN100770_c0_g1_i4","TRINITY_DN100770_c0_g1::TRINITY_DN100770_c0_g1_i4::g.39309::m.39309","YL093_MIMIV","Q:113-466,H:270-388",34.426,7.1e-10,"Putative ankyrin repeat protein L93","Viruses; Mimiviridae; Mimivirus","Viruses","Mimivirus"
"11","TRINITY_DN100770_c0_g1","TRINITY_DN100770_c0_g1_i4","TRINITY_DN100770_c0_g1::TRINITY_DN100770_c0_g1_i4::g.39309::m.39309","YL093_MIMIV","Q:107-466,H:120-248",31.783,8.32e-08,"Putative ankyrin repeat protein L93","Viruses; Mimiviridae; Mimivirus","Viruses","Mimivirus"
